Lat	Long	Soil_Type	Soil_Class	SoilDepth	HzSimb	HzDeIn	HzDeFn	HzVal	Silt	Clay	Sand	pH_KCL	C	C_N	BD
-8.133	-65.783	PVAal. at. baixa med.	PVa	200	B3	140	170	6	31	35	34	3.7	0.25	8.333333333	1.4
-8.133	-65.783	PVAal. at. baixa med.	PVa	200	B23	110	140	5	32	22	46	3.8	0.18	9	1.4
-8.133	-65.783	PVAal. at. baixa med.	PVa	200	B1	10	25	2	41	15	44	3.5	0.55	11	1.4
-8.133	-65.783	PVAal. at. baixa med.	PVa	200	A1	0	10	1	37	13	50	3.6	0.84	12	1.4
-8.133	-65.783	PVAal. at. baixa med.	PVa	200	B22	70	110	4	35	21	44	3.7	0.28	14	1.4
-9.450	-65.767	PVA al. casc.at. baixa arg.	PVa	200	B2	90	140	4	30	38	32	4	0.25	8.333333333	1.4
-9.450	-65.767	PVA al. casc.at. baixa arg.	PVa	200	A3	15	30	2	31	23	46	3.7	0.63	9	1.4
-9.450	-65.767	PVA al. casc.at. baixa arg.	PVa	200	A1	0	15	1	34	18	48	3.6	1.08	10.8	1.4
-9.450	-65.767	PVA al. casc.at. baixa arg.	PVa	200	B1	30	90	3	29	27	44	4	0.35	11.66666667	1.4
-9.433	-65.767	LVA al. fraco arg.	LVa	200	B22	80	170	5	11	46	43	4.4	0.21	7	1.4
-9.433	-65.767	LVA al. fraco arg.	LVa	200	B21	50	80	4	10	46	44	4.1	0.29	9.666666667	1.4
-9.433	-65.767	LVA al. fraco arg.	LVa	200	A1	0	15	1	9	34	57	3.3	0.8	13.33333333	1.4
-9.433	-65.767	LVA al. fraco arg.	LVa	200	A3	15	35	2	12	44	44	3.6	0.56	14	1.4
-9.433	-65.767	LVA al. fraco arg.	LVa	200	B1	35	50	3	12	47	41	4	0.43	14.33333333	1.4
-8.900	-65.733	CLal. at. baixa med.	Cta	200	A3cn	10	20	2	31	17	52	3.7	0.36	7.2	1.4
-8.900	-65.733	CLal. at. baixa med.	Cta	200	B1cn	20	60	3	29	19	52	4	0.25	8.333333333	1.4
-8.900	-65.733	CLal. at. baixa med.	Cta	200	A1cn	0	10	1	27	16	57	3.9	0.67	11.16666667	1.4
-8.900	-65.733	CLal. at. baixa med.	Cta	200	B3cn	100	140	5	32	22	46	4	0.25	12.5	1.4
-8.900	-65.733	CLal. at. baixa med.	Cta	200	B2cn	60	100	4	29	20	51	4	0.26	13	1.4
-9.300	-65.717	Lial. at. alta aren.	Ra	200	A11	0	20	1	15	8	77	3.4	1.66	12.76923077	1.4
-9.300	-65.717	Lial. at. alta aren.	Ra	200	A12	20	40	2	14	8	78	3.7	1.43	15.88888889	1.4
-9.367	-65.683	CLal. at. baixa arg.	Cta	200	A3	0	15	1	19	45	36	3.6	1.67	6.423076923	1.4
-9.367	-65.683	CLal. at. baixa arg.	Cta	200	B1cn	15	45	2	19	54	27	3.7	1.71	13.15384615	1.4
-9.367	-65.683	CLal. at. baixa arg.	Cta	200	B2cn	45	90	3	16	55	29	4.1	1.22	17.42857143	1.4
-9.650	-65.617	LVAal. m. arg.	LVa	200	B1	20	60	3	21	71	8	3.7	1.28	9.142857143	1.4
-9.650	-65.617	LVAal. m. arg.	LVa	200	B22	130	170	5	12	83	5	4	0.29	9.666666667	1.4
-9.650	-65.617	LVAal. m. arg.	LVa	200	A1	0	5	1	29	62	9	3.5	3.9	10.54054054	1.4
-9.650	-65.617	LVAal. m. arg.	LVa	200	A3	5	20	2	23	67	10	3.2	2.43	10.56521739	1.4
-9.650	-65.617	LVAal. m. arg.	LVa	200	B21	60	130	4	17	74	9	4	0.61	12.2	1.4
-8.867	-65.500	HCal. at. baixa med.	HCta	200	A2	40	120	3	7	11	82	4.1	0.2	6.666666667	1.4
-8.867	-65.500	HCal. at. baixa med.	HCta	200	B2	120	170	4	8	31	61	4.4	0.07	7	1.4
-8.867	-65.500	HCal. at. baixa med.	HCta	200	A12	20	40	2	7	7	86	4	0.57	11.4	1.4
-8.867	-65.500	HCal. at. baixa med.	HCta	200	A11	0	20	1	9	7	84	3.5	0.69	11.5	1.4
-8.850	-65.500	PH	HP	200	Bir	70	170	4	17	4	79	4.3	0.06	6	1.4
-8.850	-65.500	PH	HP	200	A2	10	50	2	7	1	92	4.3	0.01	19.6	1.4
-8.850	-65.500	PH	HP	200	Bhir	50	70	3	13	5	82	4	0.1	19.6	1.4
-8.850	-65.500	PH	HP	200	A1	0	10	1	10	1	89	4	0.98	19.6	1.4
-9.317	-65.417	Ctal. at. baixa med.	Cta	200	(B)	15	40	2	30	25	45	3.9	0.2	4	1.4
-9.317	-65.417	Ctal. at. baixa med.	Cta	200	IIC3	100	140	5	48	4	48	4.1	0.06	6	1.4
-9.317	-65.417	Ctal. at. baixa med.	Cta	200	IIC2	70	100	4	44	6	50	4	0.09	9	1.4
-9.317	-65.417	Ctal. at. baixa med.	Cta	200	C1	40	70	3	33	21	46	4	0.22	11	1.4
-9.317	-65.417	Ctal. at. baixa med.	Cta	200	A	0	15	1	30	23	47	3.5	0.96	12	1.4
-8.850	-65.333	PH	HP	200	B2hir	80	120	4	8	7	85	4.4	0.2	6.666666667	1.4
-8.850	-65.333	PH	HP	200	A2	7	60	2	7	4	79	4.6	0.1	10	1.4
-8.850	-65.333	PH	HP	200	A1	0	7	1	12	4	79	4.4	0.34	11.33333333	1.4
-8.850	-65.333	PH	HP	200	B1hir	60	80	3	13	3	84	4.4	0.14	14	1.4
-10.417	-65.317	PVA eut.  at baixa. A mod text. arg.	PE	200	B3	80	100	5	34.7	27.7	37.6	4.2	0.15	10	1.4
-10.417	-65.317	PVA eut.  at baixa. A mod text. arg.	PE	200	B22	40	80	4	30.7	38.4	30.9	4.7	0.21	10	1.4
-10.417	-65.317	PVA eut.  at baixa. A mod text. arg.	PE	200	B21	20	40	3	25.2	43.1	31.7	5.7	0.33	10	1.4
-10.417	-65.317	PVA eut.  at baixa. A mod text. arg.	PE	200	B1	10	20	2	21.2	37.6	41.2	5.6	0.48	10	1.4
-10.417	-65.317	PVA eut.  at baixa. A mod text. arg.	PE	200	A	0	10	1	15.8	12.1	72.1	5.5	1.68	10	1.4
-10.817	-65.267	PVAal.at. baixa arg.	PVa	200	B3	140	170	7	10.1	45.9	44.0	4.3	0.01	10.0	1.4
-10.817	-65.267	PVAal.at. baixa arg.	PVa	200	B23	90	140	6	6.3	50.4	43.3	4.2	0.5	10.0	1.4
-10.817	-65.267	PVAal.at. baixa arg.	PVa	200	B22	60	90	5	7.9	48.3	43.8	4.2	0.5	10.0	1.4
-10.817	-65.267	PVAal.at. baixa arg.	PVa	200	B21	40	60	4	11.5	46.2	42.3	4.1	0.6	10.0	1.4
-10.817	-65.267	PVAal.at. baixa arg.	PVa	200	B1	25	40	3	8.1	43.6	48.3	4.0	0.7	10.0	1.4
-10.817	-65.267	PVAal.at. baixa arg.	PVa	200	A3	10	25	2	11.8	20.8	67.4	4.0	0.9	10.0	1.4
-10.817	-65.267	PVAal.at. baixa arg.	PVa	200	A1	0	10	1	7.1	36.9	56.0	3.8	1.5	10.0	1.4
-9.750	-65.267	GPH alico arg. at. baixa A fraco. text. media	HGPa	200	C3g	80	140	5	48.3	22.1	29.6	3.8	0.15	10	1.4
-9.750	-65.267	GPH alico arg. at. baixa A fraco. text. media	HGPa	200	C2g	55	80	4	54.1	22.6	23.3	3.8	0.3	10	1.4
-9.750	-65.267	GPH alico arg. at. baixa A fraco. text. media	HGPa	200	C1g	40	55	3	48.9	29.9	21.2	3.9	0.75	10	1.4
-9.750	-65.267	GPH alico arg. at. baixa A fraco. text. media	HGPa	200	A12	20	40	2	52	30.8	17.2	4	1.38	10	1.4
-9.750	-65.267	GPH alico arg. at. baixa A fraco. text. media	HGPa	200	A11	0	20	1	51.6	26.4	22	3.7	2.1	10	1.4
-9.283	-65.267	PVA al. at.baixa med.	PVa	200	B21	40	110	4	33	23	44	3.9	0.14	4.666666667	1.4
-9.283	-65.267	PVA al. at.baixa med.	PVa	200	B22	110	170	5	28	25	47	4	0.11	5.5	1.4
-9.283	-65.267	PVA al. at.baixa med.	PVa	200	A3	10	20	2	34	16	50	3.6	0.31	6.2	1.4
-9.283	-65.267	PVA al. at.baixa med.	PVa	200	B1	20	40	3	30	18	52	3.9	0.24	8	1.4
-9.283	-65.267	PVA al. at.baixa med.	PVa	200	A1	0	10	1	26	13	61	3.5	0.55	9.166666667	1.4
-8.283	-65.233	PVAal. at. baixa m. arg.	PVa	200	B22	80	110	5	24	70	6	4	0.35	5	1.4
-8.283	-65.233	PVAal. at. baixa m. arg.	PVa	200	B3	110	170	6	29	65	6	4.1	0.3	6	1.4
-8.283	-65.233	PVAal. at. baixa m. arg.	PVa	200	B1	17	50	3	37	46	17	3.8	0.51	6.375	1.4
-8.283	-65.233	PVAal. at. baixa m. arg.	PVa	200	B21	50	80	4	29	61	10	4	0.54	6.75	1.4
-8.283	-65.233	PVAal. at. baixa m. arg.	PVa	200	A12	7	17	2	42	42	16	3.6	0.93	7.75	1.4
-8.283	-65.233	PVAal. at. baixa m. arg.	PVa	200	A11	0	7	1	50	38	12	3.5	2.5	11.36363636	1.4
-9.433	-65.200	Lial. at. baixa med.	Ra	200	A	0	15	1	21	32	47	3.5	1.31	11.90909091	1.4
-9.167	-65.200	Lial. at. alta aren.	Ra	200	A	0	20	1	28	3	69	3.7	1.93	21.44444444	1.4
-10.833	-65.183	PVAal. at. baixa arg.	PVa	200	B3	100	170	4	12.5	37.4	50.1	4.1	0.2	10.0	1.4
-10.833	-65.183	PVAal. at. baixa arg.	PVa	200	B2	60	60	3	12.7	20.0	67.3	4.0	0.3	10.0	1.4
-10.833	-65.183	PVAal. at. baixa arg.	PVa	200	B1	20	60	2	14.5	18.5	67.0	3.9	0.7	10.0	1.4
-10.833	-65.183	PVAal. at. baixa arg.	PVa	200	A1	0	20	1	10.4	16.0	73.6	3.7	1.5	10.0	1.4
-10.700	-65.167	PVA endoal.at. baixa med.	PVa	200	B32	140	160	7	11.2	28.1	60.7	4.2	0.01	10.0	1.4
-10.700	-65.167	PVA endoal.at. baixa med.	PVa	200	B31	130	140	6	12.6	26.6	60.8	4.2	0.2	10.0	1.4
-10.700	-65.167	PVA endoal.at. baixa med.	PVa	200	B23	90	130	5	11.0	28.7	60.3	4.1	0.4	10.0	1.4
-10.700	-65.167	PVA endoal.at. baixa med.	PVa	200	B1	10	40	2	9.0	14.1	76.9	5.0	0.5	10.0	1.4
-10.700	-65.167	PVA endoal.at. baixa med.	PVa	200	B21	40	50	3	10.6	22.2	67.2	4.2	0.6	10.0	1.4
-10.700	-65.167	PVA endoal.at. baixa med.	PVa	200	B22	50	90	4	10.0	25.9	64.1	4.1	0.6	10.0	1.4
-10.700	-65.167	PVA endoal.at. baixa med.	PVa	200	A	0	10	1	7.4	9.6	83.0	5.5	1.0	10.0	1.4
-11.367	-65.133	AQal. … …	AQa	200	C3	110	170	5	11	9	80	4.2	0.11	2.75	1.4
-11.367	-65.133	AQal. … …	AQa	200	C2	60	110	4	11	9	80	4.1	0.18	3.6	1.4
-11.367	-65.133	AQal. … …	AQa	200	A1	0	15	1	10	9	81	3.4	0.76	3.619047619	1.4
-11.367	-65.133	AQal. … …	AQa	200	C1	40	60	3	10	9	81	4.2	0.32	5.333333333	1.4
-11.367	-65.133	AQal. … …	AQa	200	A3	15	40	2	10	9	81	4	0.5	6.25	1.4
-10.217	-65.133	TREe.m. arg.	TRe	200	B22	70	100	4	17.5	58.8	23.7	5.5	0.3	10.0	1.4
-10.217	-65.133	TREe.m. arg.	TRe	200	B21	35	70	3	17.9	64.0	18.1	5.4	0.5	10.0	1.4
-10.217	-65.133	TREe.m. arg.	TRe	200	A3	15	35	2	24.6	57.2	18.2	5.3	0.9	10.0	1.4
-10.217	-65.133	TREe.m. arg.	TRe	200	A1	0	15	1	44.5	15.0	40.5	5.8	5.8	10.0	1.4
-8.117	-65.017	PVAal. plint.at. baixa arg.	PVa	200	B3pl	140	170	5	33	58	9	3.7	0.22	3.142857143	1.4
-8.117	-65.017	PVAal. plint.at. baixa arg.	PVa	200	B22pl	60	140	4	35	55	10	3.8	0.32	3.555555556	1.4
-8.117	-65.017	PVAal. plint.at. baixa arg.	PVa	200	B21	40	60	3	39	40	21	3.7	0.46	7.666666667	1.4
-8.117	-65.017	PVAal. plint.at. baixa arg.	PVa	200	A1	0	7	1	51	29	20	3.4	1.77	9.315789474	1.4
-8.117	-65.017	PVAal. plint.at. baixa arg.	PVa	200	B1	7	40	2	48	31	21	3.5	0.67	9.571428571	1.4
-11.617	-65.000	PVAe. at. baixa med.	PE	200	B23	85	100	5	27.8	30.8	41.4	5.1	0.4	10.0	1.4
-11.617	-65.000	PVAe. at. baixa med.	PE	200	B21	30	45	3	31.3	21.1	47.6	4.9	0.5	10.0	1.4
-11.617	-65.000	PVAe. at. baixa med.	PE	200	B22	45	85	4	29.0	27.0	44.0	4.7	0.6	10.0	1.4
-11.617	-65.000	PVAe. at. baixa med.	PE	200	A3	10	30	2	35.6	12.3	52.1	5.8	1.2	10.0	1.4
-11.617	-65.000	PVAe. at. baixa med.	PE	200	A1	0	10	1	34.7	13.1	52.2	6.0	1.8	10.0	1.4
-10.417	-64.983	PVAe. casc. at.baixa	PE	200	B2	40	80	3	11.7	25.2	63.1	4.9	0.4	10.0	1.4
-10.417	-64.983	PVAe. casc. at.baixa	PE	200	B1	15	40	2	10.0	11.6	78.4	4.3	0.5	10.0	1.4
-10.417	-64.983	PVAe. casc. at.baixa	PE	200	A1	0	15	1	5.4	8.4	86.2	3.7	1.5	10.0	1.4
-9.417	-64.967	PVAal. casc.at.baixa arg. 	PVa	200	B21	65	130	5	11	49	40	4	0.2	6.666666667	1.4
-9.417	-64.967	PVAal. casc.at.baixa arg. 	PVa	200	A3	8	20	2	10	26	64	3.7	0.79	7.9	1.4
-9.417	-64.967	PVAal. casc.at.baixa arg. 	PVa	200	B11	20	35	3	9	30	61	3.8	0.58	8.285714286	1.4
-9.417	-64.967	PVAal. casc.at.baixa arg. 	PVa	200	A1	0	8	1	7	16	77	3.5	1.29	9.923076923	1.4
-9.417	-64.967	PVAal. casc.at.baixa arg. 	PVa	200	B12	35	65	4	20	38	42	3.8	0.51	10.2	1.4
-9.417	-64.967	PVAal. casc.at.baixa arg. 	PVa	200	B22	130	170	6	2	47	51	4.3	0.25	12.5	1.4
-10.367	-64.867	LVAal. arg.	LVa	200	B22	130	170	5	5	53	42	4	0.46	6.571428571	1.4
-10.367	-64.867	LVAal. arg.	LVa	200	B1	45	70	3	5	50	45	3.9	0.55	6.875	1.4
-10.367	-64.867	LVAal. arg.	LVa	200	B21	70	130	4	5	49	46	3.9	0.57	7.125	1.4
-10.367	-64.867	LVAal. arg.	LVa	200	A3	25	45	2	7	47	46	3.8	0.72	7.2	1.4
-10.367	-64.867	LVAal. arg.	LVa	200	A1	0	25	1	6	36	58	3.4	1.64	9.111111111	1.4
-11.550	-64.850	PH … …	HP	200	A2	40	150	3	2.5	1.0	96.5	4.5	1.6	10.0	1.4
-11.550	-64.850	PH … …	HP	200	Bhir	150	170	4	5.6	1.9	92.5	4.3	0.2	10.0	1.4
-11.550	-64.850	PH … …	HP	200	A12	25	40	2	2.1	2.0	95.9	3.5	0.2	10.0	1.4
-11.550	-64.850	PH … …	HP	200	A11	0	25	1	3.2	2.1	94.7	2.7	3.1	10.0	1.4
-10.883	-64.817	Lial. at. baixa aren.	Ra	200	A	0	20	1	22.3	8.6	69.1	3.7	1.2	10.0	1.4
-10.733	-64.783	PVAal. at.baixa med.	PVa	200	B3	140	170	6	9	21	70	4	0.15	3	1.4
-10.733	-64.783	PVAal. at.baixa med.	PVa	200	B22	100	140	5	10	21	69	3.9	0.22	3.666666667	1.4
-10.733	-64.783	PVAal. at.baixa med.	PVa	200	B21	60	100	4	9	22	69	3.9	0.26	3.714285714	1.4
-10.733	-64.783	PVAal. at.baixa med.	PVa	200	A3	20	40	2	10	18	72	3.8	0.41	5.125	1.4
-10.733	-64.783	PVAal. at.baixa med.	PVa	200	B1	40	60	3	10	19	71	3.9	0.36	5.142857143	1.4
-10.733	-64.783	PVAal. at.baixa med.	PVa	200	A1	0	20	1	9	16	75	3.6	0.68	6.181818182	1.4
-10.467	-64.767	Lie.at.baixa aren.	Re	200	A1	0	30	1	12.6	8.0	79.4	3.9	1.5	10.0	1.4
-11.150	-64.733	LAál.m. média	LAa	200	B23	150	170	6	10	35	55	3.9	0.2	3.333333333	1.4
-11.150	-64.733	LAál.m. média	LAa	200	B22	100	150	5	9	33	58	3.7	0.23	3.833333333	1.4
-11.150	-64.733	LAál.m. média	LAa	200	B21	65	100	4	9	34	57	3.9	0.29	4.142857143	1.4
-11.150	-64.733	LAál.m. média	LAa	200	B1	35	65	3	10	33	57	3.6	0.41	5.125	1.4
-11.150	-64.733	LAál.m. média	LAa	200	A3	15	35	2	10	31	59	3.5	0.55	6.111111111	1.4
-11.150	-64.733	LAál.m. média	LAa	200	A1	0	15	1	9	22	69	3.4	1.37	8.058823529	1.4
-8.617	-64.733	PVAal. plint.at. baixa arg.	PVa	200	B22pl	110	170	5	46	43	11	4.5	0.2	6.666666667	1.4
-8.617	-64.733	PVAal. plint.at. baixa arg.	PVa	200	B21	45	110	4	42	40	18	4.1	0.4	10	1.4
-8.617	-64.733	PVAal. plint.at. baixa arg.	PVa	200	A1	0	10	1	54	33	13	3.7	1.86	10.94117647	1.4
-8.617	-64.733	PVAal. plint.at. baixa arg.	PVa	200	B1	25	45	3	48	34	18	4	0.68	11.33333333	1.4
-8.617	-64.733	PVAal. plint.at. baixa arg.	PVa	200	A3	10	25	2	48	34	18	4	0.93	13.28571429	1.4
-9.650	-64.650	PVAal. plint. at. baixa arg	PVa	200	B2pl	70	110	4	41.3	39.8	18.9	3.7	0.21	10	1.4
-9.650	-64.650	PVAal. plint. at. baixa arg	PVa	200	B1	50	70	3	44.8	30.6	24.6	3.8	0.27	10	1.4
-9.650	-64.650	PVAal. plint. at. baixa arg	PVa	200	A3	15	50	2	48.9	28.6	22.5	3.8	0.54	10	1.4
-9.650	-64.650	PVAal. plint. at. baixa arg	PVa	200	A1	0	15	1	42	24.9	33.1	3.5	1.65	10	1.4
-9.533	-64.633	AQal.	AQa	200	A1	0	15	1	12	7	81	3.5	0.72	12	1.4
-9.533	-64.633	AQal.	AQa	200	C1	15	110	2	10	9	81	4.1	0.44	14.66666667	1.4
-9.533	-64.633	AQal.	AQa	200	C2	110	140	3	10	6	84	4.2	0.19	19	1.4
-9.333	-64.633	LVAal. med. …	LVa	200	B	20	120	2	10	23.3	66.7	3.8	0.18	10	1.4
-9.333	-64.633	LVAal. med. …	LVa	200	A	0	20	1	9.5	16.5	74	3.7	0.99	10	1.4
-9.033	-64.633	LHal.el.ab. at.baixa arg.	HLra	200	B3pl	90	170	5	33	25	42	5	0.04	2	1.4
-9.033	-64.633	LHal.el.ab. at.baixa arg.	HLra	200	B21pl	40	70	3	42	39	19	4	0.12	3	1.4
-9.033	-64.633	LHal.el.ab. at.baixa arg.	HLra	200	B22pl	70	90	4	42	30	28	4.5	0.1	5	1.4
-9.033	-64.633	LHal.el.ab. at.baixa arg.	HLra	200	A2	10	40	2	42	3	55	4.1	0.06	6	1.4
-9.033	-64.633	LHal.el.ab. at.baixa arg.	HLra	200	A1	0	10	1	62	4	34	4.3	0.71	8.875	1.4
-10.233	-64.617	LVAal. arg.	LVa	200	B23	150	170	6	11	37	52	4.7	0.12	2.4	1.4
-10.233	-64.617	LVAal. arg.	LVa	200	B22	90	150	5	10	37	53	4.4	0.24	4.8	1.4
-10.233	-64.617	LVAal. arg.	LVa	200	B21	60	90	4	7	34	59	4.2	0.29	4.833333333	1.4
-10.233	-64.617	LVAal. arg.	LVa	200	B1	35	60	3	7	38	55	4	0.49	5.444444444	1.4
-10.233	-64.617	LVAal. arg.	LVa	200	A3	15	35	2	7	38	55	4	0.67	6.7	1.4
-10.233	-64.617	LVAal. arg.	LVa	200	A1	0	15	1	7	26	67	3.7	1.08	9	1.4
-8.267	-64.600	LHal.B text.	HLa	200	B2pl	75	170	3	33	37	30	4.2	0.2	6.666666667	1.4
-8.267	-64.600	LHal.B text.	HLa	200	B1pl	15	75	2	43	20	37	4	0.38	12.66666667	1.4
-8.267	-64.600	LHal.B text.	HLa	200	A	0	15	1	41	12	47	4	1.37	15.22222222	1.4
-9.967	-64.583	PVAal. casc.at.baixa arg. 	PVa	200	B1	40	60	3	14	37	49	4	0.39	9.75	1.4
-9.967	-64.583	PVAal. casc.at.baixa arg. 	PVa	200	A1	0	15	1	13	24	63	3.5	0.92	10.22222222	1.4
-9.967	-64.583	PVAal. casc.at.baixa arg. 	PVa	200	A3	15	40	2	13	33	54	3.7	0.52	10.4	1.4
-9.967	-64.583	PVAal. casc.at.baixa arg. 	PVa	200	B2	60	120	4	14	40	46	4.3	0.22	11	1.4
-9.967	-64.583	PVAal. casc.at.baixa arg. 	PVa	200	B3	120	170	5	20	32	48	4.4	0.17	17	1.4
-9.667	-64.583	SCLal. B arg. baixa	SCLa	200	B2cn	30	60	3	12	57	31	4.4	0.58	8.285714286	1.4
-9.667	-64.583	SCLal. B arg. baixa	SCLa	200	B1cn	10	30	2	15	45	40	3.9	0.86	8.6	1.4
-9.667	-64.583	SCLal. B arg. baixa	SCLa	200	Acn	0	10	1	17	39	44	3.9	1.44	9.6	1.4
-9.300	-64.583	PVAal. at. baixa med.	PVa	200	B2	50	70	4	32.1	33.7	34.2	3.7	0.39	10	1.4
-9.300	-64.583	PVAal. at. baixa med.	PVa	200	B1	30	50	3	31.5	32.1	36.4	3.6	0.45	10	1.4
-9.300	-64.583	PVAal. at. baixa med.	PVa	200	A3	10	30	2	31.4	29	39.6	3.7	0.72	10	1.4
-10.750	-64.567	PVA epial. at. baixa med.	PVa	200	B22	12	170	5	10.9	19.5	69.6	4.0	0.2	10.0	1.4
-10.750	-64.567	PVA epial. at. baixa med.	PVa	200	B21	60	120	4	9.2	19.3	71.5	3.9	0.2	10.0	1.4
-10.750	-64.567	PVA epial. at. baixa med.	PVa	200	B1	40	60	3	9.3	19.1	71.6	4.0	0.3	10.0	1.4
-10.750	-64.567	PVA epial. at. baixa med.	PVa	200	A3	15	40	2	10.7	15.4	73.9	3.8	0.4	10.0	1.4
-10.750	-64.567	PVA epial. at. baixa med.	PVa	200	A1	0	15	1	7.1	11.4	81.5	3.4	0.9	10.0	1.4
-9.683	-64.567	LRe. m. arg.	LRe	200	B22	110	170	5	17	70	13	5.5	0.15	5	1.4
-9.683	-64.567	LRe. m. arg.	LRe	200	B21	70	110	4	16	71	13	5.3	0.27	5.4	1.4
-9.683	-64.567	LRe. m. arg.	LRe	200	A3	25	45	2	19	69	12	5	0.82	7.454545455	1.4
-9.683	-64.567	LRe. m. arg.	LRe	200	B1	45	70	3	17	71	12	5.4	0.49	8.166666667	1.4
-9.683	-64.567	LRe. m. arg.	LRe	200	A1	0	25	1	24	61	15	4.3	1.44	9	1.4
-10.267	-64.400	PVAal. casc. at.baixa arg.	PVa	200	B32	150	180	6	11.3	39.3	49.4	4.5	0.2	10.0	1.4
-10.267	-64.400	PVAal. casc. at.baixa arg.	PVa	200	B31	120	150	5	15.6	42.8	41.6	4.4	0.3	10.0	1.4
-10.267	-64.400	PVAal. casc. at.baixa arg.	PVa	200	B22	70	120	4	10.8	50.0	39.2	4.2	0.4	10.0	1.4
-10.267	-64.400	PVAal. casc. at.baixa arg.	PVa	200	B21	30	70	3	7.7	50.5	41.8	4.1	0.7	10.0	1.4
-10.267	-64.400	PVAal. casc. at.baixa arg.	PVa	200	B1	12	30	2	7.8	31.6	60.6	3.9	1.3	10.0	1.4
-10.267	-64.400	PVAal. casc. at.baixa arg.	PVa	200	A1	0	12	1	3.2	11.7	85.1	3.9	1.8	10.0	1.4
-10.433	-64.383	PVAe. casc. at.baixa arg.	PE	200	B22	80	110	5	20.4	33.9	45.7	4.1	0.3	10.0	1.4
-10.433	-64.383	PVAe. casc. at.baixa arg.	PE	200	B21	50	80	4	19.4	26.4	54.2	4.0	0.4	10.0	1.4
-10.433	-64.383	PVAe. casc. at.baixa arg.	PE	200	C	130	180	7	29.3	31.4	39.3	4.1	0.4	10.0	1.4
-10.433	-64.383	PVAe. casc. at.baixa arg.	PE	200	B1	25	50	3	22.0	20.4	57.6	4.0	0.5	10.0	1.4
-10.433	-64.383	PVAe. casc. at.baixa arg.	PE	200	A12	10	25	2	20.5	9.0	70.5	4.1	1.5	10.0	1.4
-10.433	-64.383	PVAe. casc. at.baixa arg.	PE	200	B3	110	130	6	23.0	36.7	40.3	4.2	2.0	10.0	1.4
-10.433	-64.383	PVAe. casc. at.baixa arg.	PE	200	A11	0	10	1	13.9	8.3	77.8	3.9	3.4	10.0	1.4
-8.617	-64.333	LHal.el.ab. at.baixa med.	HLra	200	B2pl	85	170	6	34	24	42	4	0.2	10	1.4
-8.617	-64.333	LHal.el.ab. at.baixa med.	HLra	200	A2	35	70	4	40	10	50	4	0.22	11	1.4
-8.617	-64.333	LHal.el.ab. at.baixa med.	HLra	200	B1pl	70	85	5	44	10	46	4	0.22	11	1.4
-8.617	-64.333	LHal.el.ab. at.baixa med.	HLra	200	A11	0	15	1	41	12	47	3.5	1.29	11.72727273	1.4
